gla,eng,see-also,gla-keywords,eng-keywords,gla-metaphone,eng-metaphone
a,"vocative particle, Irish <i>a</i>, Old Irish <i>á</i>,<i>a</i>; Welsh, Cornish, Breton <i>a</i>; Latin o; Greek @G<i>w@</i>?",,,"breton, cornish, greek, irish, latin, old, particl, vocat, welsh",,"ALT, ALX, ARX, FKT, FLX, KRK, KRNJX, KRNKX, LTNK, PRTKL, PRTNK"
a,"his, her, Irish, a, Old Irish <i>á</i>, <i>ái</i> (accented), Welsh <i>ei</i>, Breton e, Celtic <i>esjo</i>, <i>esjâs</i>; Sanskrit gen. <i>asyá</i>, <i>asyâs</i>. The gen. pl. is <b>an</b>, their, Old Irish <i>a n-</i>, Celtic <i>esjon</i> (Stokes gives <i>esan</i>=Sanskrit gem. gen. pl. <i>âsâm</i>).",,,"accent, asyá, asyâ, breton, celtic, ei, esan, esjo, esjon, esjâ, gem, gen, give, her, his, irish, n-, old, pl, sanskrit, stoke, their, welsh, ái, âsâm",,"0R, A, AKSNKT, ALT, ALX, ARX, AS, ASM, ASNK, FLX, HR, HS, JF, JM, JNK, KF, KM, KNK, NKK, PL, PRTNK, SLTK, SNKSKRT, STK, TR"
a,"who, that (rel. pron.). In Gaelic this is merely the verbal particle do of past time, used also to explain the aspiration of the future rel. sentence. Oblique cases are done by an, <i>am</i> (for <i>san</i>, <i>sam</i>, Old Irish <i>san</i>, <i>sam</i>), the neut. of art. used as rel. (cf. English <i>that</i>). The rel. locative is sometimes done by the prep. an, <i>am</i>: ""An coire am bi na caoraich"" (1776 Collection, p112).",,,"1776, also, am, an, are, art, as, aspir, bi, by, caoraich, case, cf, coir, collect, do, done, english, explain, for, futur, gaelic, in, irish, locat, mere, na, neut, obliqu, of, old, p112, particl, past, prep, pron, rel, sam, san, sentenc, sometim, that, this, time, to, use, verbal, who",,"0S, 0T, A, AF, AKSPLNK, ALS, ALT, AM, ANK, ANKLX, APLK, AR, ART, ARX, AS, ASPR, FR, FRPL, FTR, KF, KLK, KLKT, KR, KRK, KRX, KS, LKT, MR, NJT, NK, NKT, P, PPPP, PRNK, PRP, PRTKL, PST, RL, SM, SMTM, SNK, SNKTNKK, T, TM, TNJ, TNK, TS, TT"
a,"out of, ex: See as.",,,"as, ex, of, out, see",,"AF, AKS, AS, AT, S"
a,"from, in the adverbs <b>a nall</b>, <b>a nìos</b>, <b>a nuas</b>, <b>a null</b>; Irish, Old Irish an-, as <i>anuas</i>, etc.; Celtic <i>a(p)ona</i>, a derivative from Indo-European <i>apo</i>, whence Latin ab, Greek @G<i>a@'pó</i>; German <i>von</i>, from, is the exact equivalent of the Celtic. The <b>a</b> before sìos and suas is due to analogy with <i>a nìos</i>, <i>a nuas</i>.",,,"a'pó, ab, adverb, an-, analog, anua, apo, apona, as, befor, celtic, deriv, due, equival, etc, exact, from, german, greek, in, indo-european, irish, latin, nall, nua, null, nìos, of, old, sua, sìos, to, von, whenc, with",,"A0, AAP, AF, AKFL, AKSKT, ALT, ANK, ANKK, ANKLK, ANKTRPNK, AP, APNK, ARX, AS, ATFRP, ATK, FNK, FRM, FT, JRMNK, KRK, KRMNK, LTNK, NJS, NK, NKL, NKS, PFR, S, SLTK, SS, T, TRF, XS"
a,"in to, as in <b>a bhàn</b>, <b>a bhos</b>, <b>a nis</b>, <b>a stigh</b>, <b>a steach</b>, is the prep. an, in, into, q.v.",,,"an, as, bhos, bhàn, in, into, nis, prep, qv, steach, stigh, to",,"ANK, ANKT, AS, KF, NJS, NKS, PNK, PRP, PS, ST, STK, STX, T"
a,"as in <b>a rìs</b>, &amp;c., and before verbs, is the prep. do, q.v.",,,"ampc, as, befor, do, in, prep, qv, rìs, verb",,"AMPK, ANK, AS, FRP, KF, PFR, PRP, RS, T"
a',"the, at; See an, the, and ag, at.",,a',"ag, an, at, see, the",AA,"0, AK, ANK, AT, S, T"
ab,"or <b>ab ab</b>, fie! The Irish <i>ab ab</i>, Middle Irish <i>abb</i> is an interjection of defiance, <i>obo</i>, of wonder; cf. Latin <i>babæ</i>, Greek @G<i>babaí</i>. Hence doubtless M`A.'s <i>abab</i>, dirt.",,ab,"ab, abab, abb, babaí, babæ, cf, defianc, dirt, doubtless, fie, greek, henc, interject, irish, latin, m`a, middl, obo, of, or, wonder",AP,"AF, ANKTR, ANKTRJKT, AP, APP, AR, ARX, F, FNKTR, HNKK, KF, KRK, LTNK, MM, MTL, PP, TFNKK, TPTLS, TRT"
aba,"abbot, Irish ab, Old Irish <i>abb</i>, Welsh <i>abad</i>; from Latin <i>abbas</i>, <i>abbatis</i>, whence also English <i>abbot</i>. Hence <i>abaid</i>, abbey. Middle Irish <i>apdaine</i>, abbacy, in Middle Gaelic ""abbey lands"", whence placenames Appin, older Abbathania (1310), Abthein (1220), ""abbey lands"". <!-- page 2 -->",,aba,"1220, 1310, ab, abad, abaid, abb, abba, abbaci, abbathania, abbati, abbey, abbot, abthein, also, apdain, appin, english, from, gaelic, henc, in, irish, land, latin, middl, old, older, page, placenam, welsh, whenc",AP,"ALS, ALT, ALTR, ALX, ANK, ANKK, ANKLX, AP, AP0NJ, AP0NK, APNK, APS, APT, APTNK, ARX, FLX, FRM, HNKK, KLK, LNKT, LTNK, MTL, PJ, PK, PLSNKM"
